Name,Type,Capacity,Speed,URL
USB Flash Drive Qumo Speedster 128Gb,USB 3.0,128 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/qumo/Qumo_Speedster_128Gb-3678443.html
USB Flash Drive SmartBuy Glossy USB 3.0 128GB,USB 3.0,128 Гб,70 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_USB_30_128GB-3680403.html
USB Flash Drive ADATA DashDrive UV150 128GB,USB 3.0,128 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_DashDrive_UV150_128GB-1994869.html
USB Flash Drive Kingston DataTraveler Kyson 128GB,USB 3.2 Gen 1,128 Гб,200 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Kyson_128GB-4487936.html
USB Flash Drive SmartBuy Glossy 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_64GB-736141.html
USB Flash Drive Silicon Power Marvel M01 128GB,USB 3.0,128 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Marvel_M01_128GB-1466841.html
USB Flash Drive Transcend JetFlash 730 128Gb,USB 3.0,128 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_730_128Gb-1875033.html
USB Flash Drive Kingston DataTraveler SE9 G3 512GB DTSE9G3/512GB,USB 3.2 Gen 1,512 Гб,220 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_SE9_G3_512GB_DTSE9G3512GB-4902867.html
USB Flash Drive Transcend JetFlash 930C 256Gb,USB 3.2 Gen 1/Type-C,256 Гб,420 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_930C_256Gb-4489120.html
USB Flash Drive SanDisk Ultra Dual Drive Luxe USB/Type-C 256GB,USB 3.1/USB Type-C,256 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Drive_Luxe_USBType_C_256GB-4488001.html
USB Flash Drive Kingston DataTraveler SE9 G3 128GB DTSE9G3/128GB,USB 3.2 Gen 1,128 Гб,220 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_SE9_G3_128GB_DTSE9G3128GB-4902667.html
USB Flash Drive Kingston DataTraveler SE9 G3 256GB DTSE9G3/256GB,USB 3.2 Gen 1,256 Гб,220 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_SE9_G3_256GB_DTSE9G3256GB-4902668.html
USB Flash Drive Kingston DataTraveler SE9 G3 64GB DTSE9G3/64GB,USB 3.2 Gen 1,64 Гб,220 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_SE9_G3_64GB_DTSE9G364GB-4902669.html
USB Flash Drive ADATA C906 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_C906_32GB-367743.html
USB Flash Drive SanDisk Ultra Dual Drive Luxe USB/Type-C 64GB,USB 3.1/USB Type-C,64 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Ultra_Dual_Drive_Luxe_USBType_C_64GB-4489196.html
USB Flash Drive Sandisk Ultra Flair USB 3.0 128GB,USB 3.0,128 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/Sandisk_Ultra_Flair_USB_30_128GB-2331591.html
USB Flash Drive Kingston DataTraveler Micro USB 3.2 Gen 1 256GB,USB 3.2 Gen 2,256 Гб,200 Мб/с,https://komp.1k.by/storage-usbflashdrives/kingston/Kingston_DataTraveler_Micro_USB_32_Gen_1_256GB-4669968.html
USB Flash Drive ADATA UE800 256GB,USB 3.2 Gen 2 Type-C,256 Гб,1 000 Мб/с,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UE800_256GB-4786903.html
USB Flash Drive SanDisk Extreme PRO 512GB,USB 3.2 Gen 1,512 Гб,420 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/SanDisk_Extreme_PRO_512GB-4487991.html
USB Flash Drive Transcend JetFlash 730 64Gb,USB 3.0,64 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_730_64Gb-787465.html
USB Flash Drive ADATA DashDrive UV150 64GB,USB 3.0,64 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_DashDrive_UV150_64GB-1351297.html
USB Flash Drive Transcend JetFlash 780 64Gb,USB 3.0,64 Гб,210 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_780_64Gb-777439.html
USB Flash Drive Transcend JetFlash 710 64Gb,USB 3.0,64 Гб,90 Мб/с,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_710_64Gb-1407517.html
USB Flash Drive Silicon Power LuxMini 322 32Gb,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_LuxMini_322_32Gb-364855.html
USB Flash Drive Silicon Power Marvel M01 8GB,USB 3.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Marvel_M01_8GB-589456.html
USB Flash Drive Transcend JetFlash 350 8Gb,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_350_8Gb-617947.html
USB Flash Drive SmartBuy Glossy Orange 32GB (SB32GBGS-Or),USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Glossy_Orange_32GB_SB32GBGS_Or-680878.html
USB Flash Drive Sandisk Cruzer Glide 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/sandisk/Sandisk_Cruzer_Glide_16GB-727433.html
USB Flash Drive Silicon Power Firma F80 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Firma_F80_64GB-767188.html
